"CCS","Age: <2","Age: 2-4","Age: 5-11","Age: 12-17","Age: 18-34","Age: 35-44","Age: 45-54","Age: 55-64","Age: >64"
"8",,"-0.927",,,,,,,
"121",,,"-0.909",,,,,,
"185",,,,,"-0.911",,,,
"197",,"-0.91","-0.93",,,"-0.937","-0.947","-0.941",
"229",,"-0.927",,,,,,,
"230",,,,,,"-0.932","-0.903",,
"234",,,,,,"-0.934","-0.931","-0.905",
"235",,,,,,"-0.924","-0.918",,
"236",,"-0.911","-0.923","-0.931","-0.934","-0.957","-0.964","-0.958","-0.931"
"239","-0.95","-0.922",,,,"-0.939","-0.951","-0.95","-0.924"
"240",,,,"-0.94",,"-0.939","-0.945","-0.941",
"243","-0.911","-0.929","-0.957","-0.932","-0.94","-0.941","-0.937","-0.93",
"2601",,,,,,,"-0.912","-0.918",
"2608",,,,,,,"-0.937",,
"2611","-0.937","-0.945",,,"-0.916","-0.925","-0.923","-0.905",
"2614",,,,,,,,"-0.908",
