"CCS","Age: <2","Age: 2-4","Age: 5-11","Age: 12-17","Age: 18-34","Age: 35-44","Age: 45-54","Age: 55-64","Age: >64"
"2",,"0.206","0.282",,,,,,
"3",,,"0.241","0.376",,,,,
"7",,"0.709","0.775","0.771",,"0.774","0.765","0.725",
"55",,,"0.45",,,,,,
"63",,,"0.287",,,,,,
"84",,,"0.37",,,,,,
"92",,"0.244","0.392","0.459","0.395","0.345","0.267",,
"100",,,,,,,,,"0.377"
"107",,,,,,,,,"0.303"
"122",,,"0.303","0.59","0.676","0.671","0.653","0.678","0.638"
"124",,,"0.417","0.427",,,,,
"125",,,"0.549","0.706","0.725","0.702","0.697","0.676","0.624"
"126",,"0.37","0.643","0.671","0.593","0.544","0.518","0.496","0.487"
"127",,,"0.559","0.702","0.719","0.71","0.666","0.597",
"128",,,,,,"0.353","0.361","0.353",
"129",,,,,,,,,"0.341"
"130",,,"0.339",,"0.364","0.278","0.279","0.24","0.315"
"131",,,"0.272",,,,"0.378","0.403","0.471"
"133",,"0.322","0.64","0.746","0.763","0.685","0.652","0.6","0.529"
"246","0.787","0.818","0.875","0.9","0.907","0.901","0.882","0.865","0.832"
"247",,,,"0.201",,,,,
"250",,,"0.378","0.377",,,,,
"252","0.274","0.572","0.585","0.222",,,,,
