"CCS","Age: <2","Age: 2-4","Age: 5-11","Age: 12-17","Age: 18-34","Age: 35-44","Age: 45-54","Age: 55-64","Age: >64"
"2",,"0.746","0.864",,,,,,
"3",,,"0.899","0.786",,,,,
"7",,"0.752","0.929","0.825",,"0.892","0.863","0.701",
"55",,,"0.861",,,,,,
"63",,,"0.751",,,,,,
"84",,,"0.652",,,,,,
"92",,"0.937","0.921","0.838","0.888","0.949","0.92",,
"100",,,,,,,,,"0.603"
"107",,,,,,,,,"0.656"
"122",,,"0.912","0.925","0.931","0.953","0.978","0.959","0.913"
"124",,,"0.718","0.923",,,,,
"125",,,"0.911","0.915","0.916","0.934","0.955","0.955","0.941"
"126",,"0.939","0.937","0.915","0.956","0.959","0.962","0.957","0.944"
"127",,,"0.906","0.917","0.915","0.934","0.949","0.902",
"128",,,,,,"0.772","0.802","0.754",
"129",,,,,,,,,"0.733"
"130",,,"0.849",,"0.671","0.836","0.716","0.622","0.623"
"131",,,"0.708",,,,"0.761","0.78","0.81"
"133",,"0.946","0.934","0.937","0.957","0.964","0.959","0.922","0.769"
"246","0.786","0.873","0.972","0.981","0.962","0.942","0.901","0.832","0.788"
"247",,,,"0.826",,,,,
"250",,,"0.962","0.877",,,,,
"252","0.627","0.875","0.932","0.74",,,,,
